"state","development5yr","city_rating","city_total_reviews","pred_dev"
"OH",-0.298657718120805,3.53020134228188,7648,0.15503355704698
"OH",-0.5,3.15217391304348,521,0.110804347826087
"PA",-1,3.96969696969697,1089,0.206454545454546
"OH",-0.138755980861244,3.21531100478469,14790,0.118191387559809
"OH",-1,4.21212121212121,1056,0.234818181818182
"OH",-0.790540540540541,3.25675675675676,7183,0.123040540540541
"IL",-0.382923673997413,3.28201811125485,14693,0.125996119016818
"NC",-0.446223189306808,3.40721168790799,426147,0.140643767485235
"OH",-0.369821360699354,3.60167236792094,120503,0.16339566704675
"OH",-0.68693009118541,3.71732522796353,24306,0.176927051671733
"NC",-0.225531914893617,3.40851063829787,3785,0.140795744680851
"PA",-0.119047619047619,2.88095238095238,1117,0.0790714285714286
"NC",-0.627329192546584,3.41304347826087,21518,0.141326086956522
"OH",0.479166666666667,3.36458333333333,859,0.13565625
"TX",-1,4.17623762376238,1000910,0.230619801980198
"NC",0.0526315789473684,3.46052631578947,2022,0.146881578947368
"PA",0,4.45652173913043,1886,0.263413043478261
"OH",-0.571428571428571,3.20408163265306,899,0.116877551020408
"OH",0.0240963855421687,3.75903614457831,964,0.181807228915663
"OH",0,3.01851851851852,1706,0.0951666666666667
"NC",-0.260504201680672,3.5546218487395,1608,0.157890756302521
"NC",-0.112903225806452,4.10483870967742,4671,0.222266129032258
"PA",-0.707142857142857,4.02142857142857,10173,0.212507142857143
"OH",0.0847457627118644,3.5593220338983,623,0.158440677966102
"NC",-0.275167785234899,3.66442953020134,2050,0.170738255033557
"OH",-0.916666666666667,3.58333333333333,2338,0.16125
"NC",-0.280701754385965,3.45614035087719,7324,0.146368421052632
"PA",-0.352941176470588,3.52941176470588,947,0.154941176470588
"OH",-0.77027027027027,3.05405405405405,38450,0.0993243243243243
"OH",-0.375598086124402,3.58851674641148,20361,0.161856459330144
"OH",-0.412371134020619,3.76288659793814,2768,0.182257731958763
"NC",-0.403743315508021,3.64171122994652,35556,0.168080213903743
"OH",-0.0454545454545455,3.28181818181818,1078,0.125972727272727
"OH",-0.20979020979021,2.87412587412587,2363,0.0782727272727273
"PA",-0.361809045226131,3.69346733668342,3949,0.17413567839196
"OH",-0.490196078431373,3.7843137254902,1134,0.184764705882353
"OH",-0.837209302325581,3.76744186046512,1237,0.182790697674419
"OH",-0.622754491017964,3.68263473053892,5861,0.172868263473054
"OH",0,3.30769230769231,2361,0.129
"NC",-0.71505376344086,3.47849462365591,7137,0.148983870967742
"PA",-0.520154517971112,3.60010077258986,516695,0.163211790393013
"PA",-1,4.14,2450,0.22638
"OH",-0.904761904761905,3.3015873015873,2501,0.128285714285714
"OH",0,4.07407407407407,702,0.218666666666667
"PA",-1,2.75,992,0.06375
"OH",-0.102150537634409,3.82795698924731,8686,0.189870967741936
"IL",0.0925925925925926,3.94444444444444,1306,0.2035
"OH",-1,4.4,900,0.2568
"OH",-0.563380281690141,2.42253521126761,1076,0.0254366197183098
"OH",0.0555555555555556,3.87777777777778,1547,0.1957
"OH",-0.1,3.1875,1932,0.1149375
"OH",-0.488888888888889,3.1,1306,0.1047
"OH",0,4.16883116883117,5775,0.229753246753247
"IL",-0.487951807228916,3.83433734939759,30286,0.190617469879518
"PA",0,3.64,1659,0.16788
"NC",-0.527950310559006,3.47204968944099,7811,0.148229813664596
"PA",-0.405405405405405,3.37837837837838,510,0.13727027027027
"OH",-0.270833333333333,3.18333333333333,5409,0.11445
"PA",0.252032520325203,3.38211382113821,1088,0.137707317073171
"OH",-0.582278481012658,3.07594936708861,2845,0.101886075949367
